# Sample size, Mean, Margin
16.000000,39.074996,9.590288
32.000000,32.900063,3.529755
48.000000,26.679436,1.665945
64.000000,25.056233,1.912981
80.000000,22.814837,0.854617
96.000000,19.563820,0.947778
