# Sample size, Mean, Margin
16.000000,41.155578,13.604665
32.000000,35.581518,8.005979
48.000000,29.541017,3.357846
64.000000,24.614254,1.297293
80.000000,22.873598,1.389397
96.000000,21.338390,0.833422
